Subject,Intervention,Residual,Condition
SS01,RMT30,3.19634162828348e-16,2489.8278399358
SS01,RMT50,2.46835540271671e-16,1453.30985042096
SS01,SHAM1,6.01583045496452e-16,1853.42862857861
SS01,SHAM2,1.72207678127561e-15,3935.46711683905
SS01,TOL30,2.8083732014443e-16,2259.78982452669
SS01,TOL50,2.7535613850787e-16,2148.76275316654
SS02,RMT30,1.09905972545202e-15,2951.46091129609
SS02,RMT50,5.75015343565785e-16,3121.95768870869
SS02,SHAM1,3.26460477777909e-16,1651.79781468379
SS02,SHAM2,1.7799640647247e-15,2361.51610802145
SS02,TOL30,9.5466330042572e-16,2598.0791571556
SS02,TOL50,8.87566344074053e-16,2752.71386526293
SS03,RMT30,9.43800854724622e-16,6585.6904714414
SS03,RMT50,5.87870866624997e-16,4662.6821055382
SS03,SHAM1,4.65403700869022e-16,4215.72161183998
SS03,SHAM2,6.17137959675681e-16,4997.51770420169
SS03,TOL30,6.174355623429e-16,4471.64902161247
SS03,TOL50,7.72242214263054e-16,6730.06882654939
SS04,RMT30,3.39437658610226e-16,3442.21171946822
SS04,RMT50,4.92700314571387e-16,4512.78457635441
SS04,SHAM1,2.71509895834034e-16,2331.51440672562
SS04,SHAM2,2.78598803296727e-16,5716.60713284138
SS04,TOL30,4.05952244178611e-16,8717.63541683559
SS04,TOL50,8.84699434858508e-16,7199.38813016042
SS05,RMT30,1.7597035829896e-16,1852.24419818719
SS05,RMT50,2.51677595458841e-16,3206.62892563776
SS05,SHAM1,3.01035157624648e-16,2386.91450116633
SS05,SHAM2,4.44089596506523e-16,1493.94710873083
SS05,TOL30,5.68424671203766e-16,4005.67478662987
SS05,TOL50,3.06010002425226e-16,1059.66403517427
SS06,RMT30,4.98149927913497e-16,13485.955498316
SS06,RMT50,2.9281684961809e-16,4719.79443385378
SS06,SHAM1,4.34854053761991e-16,5711.68265668743
SS06,SHAM2,2.89482027084955e-16,6882.20948849154
SS06,TOL30,3.05974273224175e-16,11088.8453995563
SS06,TOL50,3.23463225712407e-16,12417.7192510089
SS08,RMT30,3.07369494482216e-16,2444.87414748298
SS08,RMT50,1.67375122457415e-15,4699.58376577638
SS08,SHAM1,2.66108700715566e-16,1591.82863849435
SS08,SHAM2,4.04384212115458e-16,1874.58456517054
SS08,TOL30,4.17265536290888e-16,4297.11895151863
SS08,TOL50,1.99933932181664e-16,2203.98170021936
SS09,RMT30,2.5254375633594e-16,16461.4893491818
SS09,RMT50,2.24932394108533e-15,9597.42151271982
SS09,SHAM1,3.08133483742302e-16,8805.14206985467
SS09,SHAM2,2.6351963676061e-16,3161.99521492367
SS09,TOL30,3.59639399627335e-16,6308.06296860285
SS09,TOL50,1.62684168056741e-15,8353.63249987742
SS10,RMT30,3.42572301425207e-16,1078.56744593445
SS10,RMT50,2.49822699186853e-16,1527.90589242799
SS10,SHAM1,3.17459624208588e-16,1263.63856299869
SS10,SHAM2,3.48568345273112e-16,2120.17586864134
SS10,TOL30,5.08773057225247e-16,3644.43662406136
SS10,TOL50,4.50849403591899e-16,2591.18052118942
SS13,RMT30,4.91768512434851e-16,79330.0650585148
SS13,RMT50,4.22441115186313e-16,36423.5557420646
SS13,SHAM1,1.87572615181207e-16,20917.5717001886
SS13,SHAM2,9.19595958123701e-16,27882.0777903948
SS13,TOL30,5.85601930624567e-16,15220.2891529928
SS13,TOL50,7.08602228829099e-16,24681.6300493545
SS18,RMT30,3.42260534434695e-16,7824.16496879812
SS18,RMT50,3.76036466666413e-16,11481.2035171672
SS18,SHAM1,5.90514880537158e-16,6225.78614368294
SS18,SHAM2,3.53073445559812e-16,10823.7763979012
SS18,TOL30,3.72836067989143e-16,9274.3468957078
SS18,TOL50,2.70354986133576e-16,8383.8676381636
SS20,RMT30,3.06104291534373e-16,6613.07664038975
SS20,RMT50,6.54130067414451e-16,2553.33372891335
SS20,SHAM1,4.94097290068102e-16,3189.60535515323
SS20,SHAM2,2.48616771373671e-16,2581.72601298989
SS20,TOL30,4.29729844837044e-16,3148.34829080916
SS20,TOL50,2.09146034615118e-16,2708.8445399492
SS21,RMT30,3.97643097031349e-16,1576.69697032531
SS21,RMT50,2.33997448987158e-16,2055.73922870169
SS21,SHAM1,3.41747738968629e-16,3879.46154817599
SS21,SHAM2,3.48811274172238e-16,1738.84028737112
SS21,TOL30,2.79781571413515e-16,1347.61192599985
SS21,TOL50,4.42587117122674e-16,2538.65827870113
SS23,RMT30,5.09144312227164e-16,8317.01593209417
SS23,RMT50,6.77372870098479e-16,17554.5327719527
SS23,SHAM1,4.08933471185259e-16,4626.17842927092
SS23,SHAM2,3.06400214872877e-16,10762.7913059801
SS23,TOL30,7.77834169311666e-16,8010.1627269006
SS23,TOL50,5.0025052694765e-16,4730.37427039389
SS24,RMT30,7.06949394108142e-16,18731.4179857394
SS24,RMT50,3.13358435797849e-16,26751.6066978601
SS24,SHAM1,1.47259562354035e-15,13722.9184855396
SS24,SHAM2,4.70268478622013e-16,13681.2168582347
SS24,TOL30,5.28965123788431e-16,13116.6169242505
SS24,TOL50,4.53981857691986e-16,11984.0089827517
SS27,RMT30,2.6826794674967e-16,3721.70121514347
SS27,RMT50,3.05489494960767e-16,4459.41518896491
SS27,SHAM1,4.61927397075651e-16,4767.64125566442
SS27,SHAM2,2.68968051399827e-16,3916.84379069158
SS27,TOL30,1.12646050623986e-15,3570.78829317025
SS27,TOL50,2.66037686734339e-16,5015.96518579701
